patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings
US137390A,1873-04-01,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US137426A,1873-04-01,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US137646A,1873-04-08,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US137675A,1873-04-08,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US137752A,1873-04-15,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US137839A,1873-04-15,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US137863A,1873-04-15,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US138196A,1873-04-22,rigker ,['rigker'],"[('rigker', 'NN')]",0,['VERB'],[],0,0,1,0
US138197A,1873-04-22,bicker ,['bicker'],"[('bicker', 'NN')]",0,['NOUN'],[],0,0,1,0
US138547A,1873-05-06,Sachusetts ,['Sachusetts'],"[('Sachusetts', 'NN')]",0,['NOUN'],['GPE'],0,0,1,0
US138565A,1873-05-06,Improvement ,['Improvement'],"[('Improvement', 'NN')]",0,['NOUN'],[],0,0,1,0
US138673A,1873-05-06,Boilers ,['Boilers'],"[('Boilers', 'NNS')]",0,['NOUN'],[],0,0,1,0
