patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US64850A,1867-05-21,Joseph n ,"['Joseph', 'n']","[('Joseph', 'NNP'), ('n', 'NN')]",1,"['PROPN', 'CCONJ']",['PERSON'],1,1,2
US64858A,1867-05-21,William galladay ,"['William', 'galladay']","[('William', 'NNP'), ('galladay', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64860A,1867-05-21,Egbert d ,"['Egbert', 'd']","[('Egbert', 'NNP'), ('d', 'NN')]",1,"['PROPN', 'X']",['PERSON'],1,1,2
US64867A,1867-05-21,Feedebick hess ,"['Feedebick', 'hess']","[('Feedebick', 'NNP'), ('hess', 'NN')]",1,"['NOUN', 'NOUN']",['PERSON'],0,1,2
US64872A,1867-05-21,William e ,"['William', 'e']","[('William', 'NNP'), ('e', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64873A,1867-05-21,William b ,"['William', 'b']","[('William', 'NNP'), ('b', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64875A,1867-05-21,teeet hudson ,"['teeet', 'hudson']","[('teeet', 'NN'), ('hudson', 'NN')]",0,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64878A,1867-05-21,James m ,"['James', 'm']","[('James', 'NNP'), ('m', 'NN')]",1,"['PROPN', 'VERB']",['PERSON'],1,1,2
US64880A,1867-05-21,johnson and gheorge thompson ,"['johnson', 'and', 'gheorge', 'thompson']","[('johnson', 'NN'), ('and', 'CC'), ('gheorge', 'NN'), ('thompson', 'NN')]",0,"['PROPN', 'CCONJ', 'VERB', 'PROPN']","['PERSON', 'PERSON']",1,1,4
US64883A,1867-05-21,John w ,"['John', 'w']","[('John', 'NNP'), ('w', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64886A,1867-05-21,Henry little ,"['Henry', 'little']","[('Henry', 'NNP'), ('little', 'JJ')]",1,"['PROPN', 'ADJ']",['PERSON'],1,1,2
US64890A,1867-05-21,William h ,"['William', 'h']","[('William', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64894A,1867-05-21,Francis e ,"['Francis', 'e']","[('Francis', 'NNP'), ('e', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64896A,1867-05-21,John morgan ,"['John', 'morgan']","[('John', 'NNP'), ('morgan', 'NN')]",1,"['PROPN', 'PROPN']",['PERSON'],1,1,2
US64899A,1867-05-21,Abraham w ,"['Abraham', 'w']","[('Abraham', 'NNP'), ('w', 'NN')]",1,"['PROPN', 'ADP']",['PERSON'],1,1,2
US64902A,1867-05-21,Isaac pedbjck ,"['Isaac', 'pedbjck']","[('Isaac', 'NNP'), ('pedbjck', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
US64903A,1867-05-21,Henry h ,"['Henry', 'h']","[('Henry', 'NNP'), ('h', 'NN')]",1,"['PROPN', 'NOUN']",['PERSON'],1,1,2
