patent_number,date,title,tokens,nltk_pos,is_prpn_nltk,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len,bad_endings,bad_starts
US70270A,1867-10-29,And monroe p ,"['And', 'monroe', 'p']","[('And', 'CC'), ('monroe', 'NN'), ('p', 'NN')]",0,"['CCONJ', 'VERB', 'NOUN']",[],0,0,3,0,1
US70271A,1867-10-29,Of hacke-nsack ,"['Of', 'hacke-nsack']","[('Of', 'IN'), ('hacke-nsack', 'NN')]",0,"['ADP', 'NOUN', 'PUNCT', 'NOUN']",[],0,0,4,0,1
US70328A,1867-10-29,of eushville ,"['of', 'eushville']","[('of', 'IN'), ('eushville', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US70626A,1867-11-05,of f i n d l e y ,"['of', 'f', 'i', 'n', 'd', 'l', 'e', 'y']","[('of', 'IN'), ('f', 'NN'), ('i', 'NN'), ('n', 'VBP'), ('d', 'NN'), ('l', 'NN'), ('e', 'NN'), ('y', 'NN')]",0,"['ADP', 'X', 'PRON', 'CCONJ', 'X', 'NOUN', 'NOUN', 'X']",['PRODUCT'],0,0,8,0,1
US70632A,1867-11-05,of holdebness ,"['of', 'holdebness']","[('of', 'IN'), ('holdebness', 'NN')]",0,"['ADP', 'NOUN']",[],0,0,2,0,1
US70688A,1867-11-12,To all persons to whom these presents shall gome ,"['To', 'all', 'persons', 'to', 'whom', 'these', 'presents', 'shall', 'gome']","[('To', 'TO'), ('all', 'DT'), ('persons', 'NNS'), ('to', 'TO'), ('whom', 'WP'), ('these', 'DT'), ('presents', 'NNS'), ('shall', 'MD'), ('gome', 'VB')]",0,"['ADP', 'DET', 'NOUN', 'PART', 'PRON', 'DET', 'NOUN', 'AUX', 'VERB']",[],0,0,9,0,1
US70796A,1867-11-12,To all whom it mat concern ,"['To', 'all', 'whom', 'it', 'mat', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('mat', 'VBZ'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'NOUN', 'NOUN']",[],0,0,6,0,1
US70807A,1867-11-12,Clemoike p ,"['Clemoike', 'p']","[('Clemoike', 'NNP'), ('p', 'NN')]",1,"['ADP', 'NOUN']",[],0,0,2,0,1
US70890A,1867-11-12,a iii s ,"['a', 'iii', 's']","[('a', 'DT'), ('iii', 'NN'), ('s', 'NN')]",0,"['DET', 'NOUN', 'VERB']",[],0,0,3,0,1
US71051A,1867-11-19,To all whom it may concern ,"['To', 'all', 'whom', 'it', 'may', 'concern']","[('To', 'TO'), ('all', 'DT'), ('whom', 'WP'), ('it', 'PRP'), ('may', 'MD'), ('concern', 'NN')]",0,"['ADP', 'PRON', 'PRON', 'PRON', 'AUX', 'VERB']",[],0,0,6,0,1
