patent_number,date,title,tokens,nltk_pos,spacy_pos,spacy_label,is_prpn_spacy,is_person_spacy,spacy_pos_len
US1618451A,1921-06-29,Muffler,['Muffler'],"[('Muffler', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618463A,1927-02-22,newton,['newton'],"[('newton', 'NN')]",['PROPN'],[],1,0,1
US1618470A,1925-10-15,Clutch,['Clutch'],"[('Clutch', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618475A,1925-10-05,Toothbrush,['Toothbrush'],"[('Toothbrush', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618496A,1926-03-13,Roller,['Roller'],"[('Roller', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618524A,1927-02-22,op mtjskegon,"['op', 'mtjskegon']","[('op', 'NN'), ('mtjskegon', 'NN')]","['NOUN', 'PROPN']",[],1,0,2
US1618548A,1924-11-06,Receptacle,['Receptacle'],"[('Receptacle', 'NN')]","['PROPN', 'SPACE']",['NORP'],1,0,2
US1618600A,1924-02-21,Piston,['Piston'],"[('Piston', 'NN')]","['PROPN', 'SPACE']",['GPE'],1,0,2
US1618601A,1924-02-21,Piston,['Piston'],"[('Piston', 'NN')]","['PROPN', 'SPACE']",['GPE'],1,0,2
US1618658A,1926-07-21,Piston,['Piston'],"[('Piston', 'NN')]","['PROPN', 'SPACE']",['GPE'],1,0,2
US1618663A,1923-08-20,Clevis,['Clevis'],"[('Clevis', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618673A,1926-09-02,Harness,['Harness'],"[('Harness', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618702A,1926-08-30,Insecticide,['Insecticide'],"[('Insecticide', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618708A,1925-10-28,Lubricant,['Lubricant'],"[('Lubricant', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618742A,1926-03-12,Brush,['Brush'],"[('Brush', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618761A,1926-05-07,Heater,['Heater'],"[('Heater', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618765A,1925-08-15,Burner,['Burner'],"[('Burner', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618801A,1922-10-23,Rheostat,['Rheostat'],"[('Rheostat', 'NN')]","['PROPN', 'SPACE']",[],1,0,2
US1618805A,1924-02-16,Piston,['Piston'],"[('Piston', 'NN')]","['PROPN', 'SPACE']",['GPE'],1,0,2
US1618810A,1926-02-01,Brake,['Brake'],"[('Brake', 'VB')]","['PROPN', 'SPACE']",[],1,0,2
